Food_Item,Recipe
dal_makhani,"1. Soak black gram and kidney beans overnight, then pressure cook until soft. 2. Heat butter in a pan, add cumin seeds. 3. Add finely chopped onions and sauté until golden brown. 4. Add ginger, garlic, and green chili paste, sauté for 1 minute. 5. Add chopped tomatoes and cook until oil separates. 6. Add cooked lentils, salt, and spices. 7. Simmer on low heat for 30 minutes, stirring occasionally. 8. Add cream and more butter, simmer for another 10 minutes. 9. Garnish with fresh coriander leaves and serve hot."
dal_tadka,"1. Wash and pressure cook dal with turmeric until soft. 2. Mash the dal slightly. 3. For tadka (tempering), heat ghee in a pan. 4. Add cumin seeds, mustard seeds, and asafoetida. 5. When seeds splutter, add dried red chilies and curry leaves. 6. Add minced garlic, ginger, green chilies, and chopped onion. 7. Sauté until onion is golden brown. 8. Add chopped tomato and cook until soft. 9. Add red chili powder and salt. 10. Pour this tadka over the cooked dal. 11. Simmer for 5 minutes. 12. Garnish with fresh coriander leaves and serve hot."
dharwad_pedha,"1. Boil milk in a heavy-bottomed pan. 2. Reduce heat and simmer, stirring continuously. 3. Scrape the sides and add the cream back to the milk. 4. Continue to simmer until milk solids separate and mixture thickens. 5. Add sugar and mix until dissolved. 6. Add cardamom powder, saffron, and ghee. 7. Continue cooking until mixture forms a soft dough-like consistency. 8. Remove from heat and allow to cool slightly. 9. While still warm, shape into small flat rounds. 10. Press a pattern on top using a mold or fork. 11. Allow to cool completely before serving."
doodhpak,"1. Wash and soak rice for 30 minutes. 2. Boil milk in a heavy-bottomed pan. 3. Add soaked rice and cook on low heat until rice is soft and milk thickens. 4. Add sugar and mix until dissolved. 5. Add cardamom powder, saffron strands, and half of the nuts. 6. Simmer for another 5 minutes. 7. Remove from heat, add rose water. 8. Garnish with remaining nuts. 9. Serve warm or chilled."
double_ka_meetha,"1. Cut bread slices into triangles or squares. 2. Heat ghee in a pan and fry bread pieces until golden brown. 3. Drain on paper towels and set aside. 4. In a separate pan, heat milk and add sugar. 5. Add crushed cardamom pods and saffron strands. 6. Simmer until milk reduces by one-third and thickens slightly. 7. Add rose water and remove from heat. 8. Arrange fried bread pieces in a serving dish. 9. Pour the warm milk mixture over the bread. 10. Garnish with sliced almonds and pistachios. 11. Let it soak for at least 30 minutes before serving."
dum_aloo,"1. Boil baby potatoes until just tender. Peel and prick all over with a fork. 2. Heat oil and fry potatoes until golden brown. Drain and set aside. 3. In the same oil, add cumin and fennel seeds. 4. Add chopped onions and sauté until golden brown. 5. Add ginger-garlic paste and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add all spice powders and salt, mix well. 8. Add yogurt and cook until oil separates. 9. Add fried potatoes and 1 cup water. 10. Cover and simmer on low heat for 15-20 minutes. 11. Add ghee and garam masala. 12. Garnish with fresh coriander leaves and serve hot."
gajar_ka_halwa,"1. Heat ghee in a heavy-bottomed pan. 2. Add grated carrots and sauté for 5 minutes. 3. Add milk and bring to a boil. 4. Reduce heat and simmer, stirring occasionally until milk evaporates and carrots are cooked. 5. Add sugar and mix until dissolved. 6. Add cardamom powder and half of the nuts and raisins. 7. Continue cooking until the mixture thickens and ghee separates from the sides. 8. Remove from heat and garnish with remaining nuts. 9. Serve warm or cold."
gavvalu,"1. Mix rice flour with a pinch of salt and enough warm water to form a firm dough. 2. Cover and let rest for 15 minutes. 3. Take small portions of the dough and roll into thin ropes. 4. Cut into small pieces and shape each piece into a tiny shell or ear shape (gavvalu). 5. Heat oil and deep fry the gavvalu until golden brown. 6. In a separate pan, melt jaggery with 1/4 cup water and strain to remove impurities. 7. Add cardamom powder and sesame seeds to the jaggery syrup. 8. Add fried gavvalu to the hot syrup and mix gently until coated. 9. Allow to cool before serving."
ghevar,"1. Mix flour and ghee until crumbly. 2. Add milk and water to form a thin batter. 3. Heat ghee in a round mold or pan. 4. Pour the batter in a thin stream into the hot ghee, starting from the center and moving outward in a spiral. 5. Fry until golden brown and crisp. 6. Remove and drain excess ghee. 7. Make sugar syrup by boiling sugar and water with cardamom and saffron until it reaches one-string consistency. 8. Pour warm syrup over the ghevar. 9. Garnish with nuts and silver foil if using. 10. Allow to cool before serving."
gulab_jamun,"1. For sugar syrup, boil sugar and water with cardamom pods until slightly sticky. Add rose water and keep warm. 2. Mix milk powder, flour, and baking soda. 3. Add ghee and knead, gradually adding milk to form a soft dough. 4. Let the dough rest for 10 minutes. 5. Divide into small balls, ensuring no cracks. 6. Heat oil on medium-low and deep fry the balls until golden brown. 7. Immediately transfer the hot jamuns into the warm sugar syrup. 8. Allow to soak for at least 2 hours before serving."
imarti,"1. Wash and soak urad dal for 4-6 hours. 2. Drain and grind into a smooth paste adding minimal water. 3. Beat the batter for 10-15 minutes until light and fluffy. 4. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 5. Add cardamom powder, saffron, and food color to the syrup. 6. Fill the batter in a cloth or plastic bag with a small hole or use an imarti maker. 7. Heat ghee in a pan. 8. Squeeze the batter directly into hot ghee in spiral flower patterns. 9. Fry until crisp and golden. 10. Remove and immediately soak in warm sugar syrup for 2-3 minutes. 11. Remove from syrup and serve."
jalebi,"1. Mix flour, yogurt, baking soda, and turmeric powder. Add water to make a flowing batter. 2. Ferment the batter for 8-12 hours. 3. For sugar syrup, boil sugar and water with saffron, cardamom powder. Add lemon juice and rose water. 4. Fill the batter in a cloth or plastic bag with a small hole. 5. Heat ghee in a pan, squeeze the batter in circular motions to form spirals. 6. Fry until crisp and golden. 7. Immediately soak in warm sugar syrup for 2-3 minutes. 8. Remove and serve warm or at room temperature."
kachori,"1. For Filling: Wash and soak moong dal for 2 hours. Drain and coarsely grind. Dry roast and grind fennel, cumin, and coriander seeds. Heat oil, add asafoetida, ginger, and green chilies. Add ground dal and spices. Cook until mixture is dry. Cool completely. 2. For Dough: Mix flour, salt, and ghee. Add water to form a firm dough. Cover and rest for 30 minutes. 3. Divide dough into small balls. Roll each ball into a small circle. Place a spoonful of filling in the center. Bring edges together and seal. Flatten slightly with palm. 4. Heat oil and deep fry kachoris on medium heat until golden brown and crisp. 5. Drain on paper towels and serve hot with tamarind or mint chutney."
kadai_paneer,"1. For kadai masala, dry roast coriander seeds, cumin seeds, and dry red chilies. Grind to a powder. 2. Cut paneer into cubes and bell peppers into squares. 3. Heat oil and butter in a kadai or pan. 4. Add chopped onions and sauté until golden brown. 5. Add ginger-garlic paste and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, kadai masala, and salt. 8. Add paneer cubes and bell peppers, mix gently. 9. Cook for 5-7 minutes on medium heat. 10. Add garam masala and mix. 11. Garnish with fresh coriander leaves and serve hot."
kadhi_pakoda,"1. For Pakodas: Mix gram flour with chopped onions, green chilies, ginger, cumin seeds, turmeric, red chili powder, and salt. Add water to make a thick batter. Heat oil and drop spoonfuls of batter. Fry until golden brown. Drain and set aside. 2. For Kadhi: Whisk yogurt and gram flour until smooth. Add 4 cups water, turmeric, red chili powder, and salt. Heat ghee in a pan, add cumin seeds, mustard seeds, and fenugreek seeds. When they splutter, add dried red chilies, curry leaves, ginger, garlic, and green chilies. Add asafoetida and the yogurt mixture. Bring to a boil, then simmer for 15-20 minutes, stirring occasionally. 3. Add fried pakodas to the kadhi and simmer for another 5 minutes. 4. Garnish with fresh coriander leaves and serve hot with rice."
kajjikaya,"1. Mix rice flour with a pinch of salt, 2 tbsp ghee, and enough warm water to form a firm dough. Cover and let rest for 15 minutes. 2. For filling, heat a pan and add grated coconut, jaggery, and cardamom powder. Cook until jaggery melts and mixture thickens. Remove from heat and cool. 3. Divide dough into small balls. Roll each ball into a thin circle. 4. Place a spoonful of filling in the center. Fold into a half-moon shape and seal the edges. 5. Crimp the edges decoratively. 6. Heat oil and deep fry until golden brown. 7. Drain on paper towels and serve when cool."
kakinada_khaja,"1. Mix flour with a pinch of salt and 2 tbsp ghee. Add water gradually to form a firm dough. 2. Cover and let rest for 30 minutes. 3. Divide the dough into small balls. 4. Roll each ball into a thin rectangle. 5. Apply a thin layer of ghee, fold, and roll again. Repeat this process 3-4 times. 6. Cut into small squares or diamonds. 7. Heat oil and deep fry until golden brown and crisp. 8. Make sugar syrup by boiling sugar with 1 cup water and cardamom powder until it reaches one-string consistency. 9. Dip fried khajas in hot syrup for 2-3 minutes. 10. Remove and allow to cool before serving."
kalakand,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Transfer the chenna to a heavy-bottomed pan. 4. Add sugar and mix well. 5. Cook on low heat, stirring continuously until the mixture thickens and starts leaving the sides of the pan. 6. Add cardamom powder and mix. 7. Grease a plate or tray with ghee. 8. Spread the mixture evenly on the greased plate. 9. Garnish with chopped pistachios and almonds. 10. Allow to cool and set for 2-3 hours. 11. Cut into squares and serve."
karela_bharta,"1. Wash karela and scrape the outer skin lightly. Cut into halves lengthwise and remove seeds. 2. Chop into small pieces and boil with salt until tender. Drain and mash coarsely. 3. Heat oil in a pan, add cumin seeds. 4. Add chopped onions and sauté until golden brown. 5. Add ginger, garlic, and green chilies, sauté for 1 minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric, red chili powder, coriander powder, and salt. 8. Add mashed karela and mix well. 9. Cook for 5-7 minutes on medium heat. 10. Add garam masala and amchur powder. 11. Garnish with fresh coriander leaves and serve hot."
kofta,"1. For Kofta: Boil, peel and mash potatoes. Grate or crumble paneer. Mix potatoes, paneer, peas, ginger, green chilies, coriander leaves, cornflour, garam masala, red chili powder, and salt. Shape into balls. Heat oil and deep fry until golden brown. Drain and set aside. 2. For Gravy: Soak cashew nuts in warm water for 30 minutes. Blend onions to a paste. Blend tomatoes and soaked cashews to a smooth paste. Heat oil and butter in a pan. Add onion paste and sauté until golden. Add ginger-garlic paste and sauté for 1 minute. Add tomato-cashew paste and spices. Cook until oil separates. Add 1 cup water and bring to a boil. Simmer for 5 minutes. Add cream and kasuri methi. 3. Add fried koftas just before serving to prevent them from breaking. 4. Garnish with cream and serve hot with naan or rice."
kuzhi_paniyaram,"1. Heat 2 tbsp oil in a pan, add mustard seeds. 2. When they splutter, add urad dal and chana dal. 3. Add chopped ginger, green chilies, curry leaves, and asafoetida. 4. Add chopped onions and sauté until translucent. 5. Remove from heat and cool. 6. Add this tempering to the idli/dosa batter along with salt and mix well. 7. Heat a paniyaram pan and add a few drops of oil in each mold. 8. Pour the batter into each mold until 3/4th full. 9. Cover and cook on low heat for 3-4 minutes. 10. Flip and cook the other side until golden brown. 11. Remove and serve hot with coconut chutney or sambar."
lassi,"1. In a blender, add yogurt, sugar, water, cardamom powder, and saffron if using. 2. Blend until smooth and frothy. 3. Add ice cubes and blend again. 4. Pour into glasses. 5. Garnish with mint leaves and serve chilled."
ledikeni,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Add a few drops of red food color if using and knead again. 6. Shape into oval cylinders. 7. Make sugar syrup by boiling sugar with water, cardamom pods, and saffron. 8. Heat oil and deep fry the shaped chenna on low heat until golden brown. 9. Remove and immediately soak in warm sugar syrup for 2-3 minutes. 10. Add rose water to the syrup. 11. Allow to soak for at least 2 hours before serving."
litti_chokha,"1. For Litti: Mix flour, ghee, ajwain, and salt. Add water to form a firm dough. Cover and rest for 30 minutes. For filling, mix sattu with finely chopped onion, ginger, green chilies, garlic, mustard oil, lemon juice, pickle masala, and salt. Add water if needed to make a crumbly mixture. Divide dough into balls. Flatten each ball, place filling in center, and seal to form a stuffed ball. Bake in a preheated oven at 350°F for 20-25 minutes or cook on coal/wood fire. Brush with ghee. 2. For Chokha: Roast eggplant, potatoes, and tomatoes directly on flame until skin is charred and inside is soft. Peel and mash. Add finely chopped onion, green chilies, ginger, garlic, mustard oil, lemon juice, and salt. Mix well and garnish with fresh coriander leaves. 3. Serve hot litti with chokha."
lyangcha,"1. Bring milk to a boil and add lemon juice to curdle it. 2. Strain the cheese (chenna) and rinse with cold water. 3. Hang the chenna for 30 minutes to remove excess water. 4. Knead the chenna on a flat surface for 8-10 minutes until smooth. 5. Add flour and baking powder, knead again until well combined. 6. Shape into cylindrical logs about 3 inches long. 7. Make sugar syrup by boiling sugar with water, cardamom pods, and saffron. 8. Heat oil and deep fry the shaped chenna on low heat until golden brown. 9. Remove and immediately soak in warm sugar syrup for 2-3 minutes. 10. Add rose water to the syrup. 11. Allow to soak for at least 2 hours before serving."
maach_jhol,"1. Clean fish and cut into medium-sized pieces. 2. Marinate fish with salt and 1/2 tsp turmeric powder for 15 minutes. 3. Heat mustard oil in a pan until it reaches smoking point, then reduce heat. 4. Fry fish pieces until golden brown on both sides. Remove and set aside. 5. In the same oil, add cumin seeds. 6. Add finely chopped onions and sauté until golden brown. 7. Add ginger-garlic paste and green chilies, sauté for 1 minute. 8. Add chopped tomatoes and cook until soft. 9. Add remaining turmeric, red chili powder, coriander powder, cumin powder, and salt. 10. Add 2 cups water and bring to a boil. 11. Add fried fish pieces and simmer for 5-7 minutes. 12. Garnish with fresh coriander leaves and serve hot with rice."
makki_di_roti_sarson_da_saag,"1. For Sarson da Saag: Wash all greens thoroughly. Chop and pressure cook with ginger, garlic, and green chilies until soft. Blend coarsely. Heat ghee in a pan, add cumin seeds. Add chopped onions and sauté until golden. Add chopped tomatoes and cook until soft. Add blended greens, cornmeal, red chili powder, and salt. Simmer for 15-20 minutes, stirring occasionally. 2. For Makki di Roti: Mix cornmeal with salt and enough water to form a firm dough. Divide into balls. Take a ball, flatten slightly, and place on a greased plastic sheet. Pat and spread into a round roti using wet fingers. Carefully transfer to a hot tawa/griddle. Cook until brown spots appear on both sides. Apply ghee. 3. Serve hot makki di roti with sarson da saag topped with a dollop of butter or ghee."
malapua,"1. Mix flour, semolina, mashed banana, fennel seeds, cardamom powder, and baking powder in a bowl. 2. Add milk gradually to form a thick batter. 3. Let the batter rest for 1-2 hours. 4. Make sugar syrup by boiling sugar with water and saffron until it reaches one-string consistency. 5. Heat ghee in a pan. 6. Pour a ladleful of batter and spread slightly to form a small pancake. 7. Fry on medium heat until golden brown on both sides. 8. Remove and immediately soak in warm sugar syrup for 1-2 minutes. 9. Garnish with chopped pistachios and serve warm or at room temperature."
misi_roti,"1. Mix whole wheat flour, gram flour, finely chopped onion, green chilies, ginger, ajwain, red chili powder, coriander powder, garam masala, fresh coriander leaves, salt, and ghee in a bowl. 2. Add water gradually and knead into a firm dough. 3. Cover and let rest for 15-30 minutes. 4. Divide into small balls. 5. Roll each ball into a thick circle. 6. Heat a tawa/griddle and place the rolled roti on it. 7. Cook until small bubbles appear, flip and cook the other side. 8. Apply ghee on both sides and cook until brown spots appear. 9. Serve hot with yogurt, pickle, or vegetable curry."
misti_doi,"1. Boil milk in a heavy-bottomed pan. 2. Reduce heat and simmer until milk reduces to half its volume. 3. Add sugar and jaggery, mix until dissolved. 4. Allow the milk to cool to lukewarm temperature. 5. Add plain yogurt and mix well. 6. Add cardamom powder and mix. 7. Pour into earthen pots or ceramic bowls. 8. Cover and keep in a warm place for 8-10 hours or overnight to set. 9. Refrigerate for a few hours before serving."
modak,"1. For Filling: Heat ghee in a pan, add grated coconut and sauté for 2-3 minutes. Add grated jaggery and mix well. Cook on low heat until jaggery melts and mixture thickens. Add cardamom powder, nutmeg powder, and poppy seeds if using. Mix well and remove from heat. Allow to cool. 2. For Outer Covering: Boil water with salt and 1 tbsp ghee. Add rice flour gradually, stirring continuously to avoid lumps. Mix well until it forms a soft dough. Cover and keep aside for 5 minutes. Apply remaining ghee on your palms, take a small portion of the dough, and flatten it. Place a spoonful of filling in the center. Bring the edges together and seal, forming a modak shape with decorative ridges. 3. Steam the modaks in a steamer for 10-12 minutes. 4. Serve hot with a drizzle of ghee."
mysore_pak,"1. Sieve gram flour to remove any lumps. 2. Melt 2 tbsp ghee and mix with gram flour. 3. Make sugar syrup by boiling sugar with water until it reaches one-string consistency. 4. Add the gram flour mixture to the sugar syrup, stirring continuously to avoid lumps. 5. Cook on low heat, stirring continuously. 6. Add remaining ghee gradually, a few tablespoons at a time, stirring after each addition. 7. Continue cooking until the mixture thickens and starts leaving the sides of the pan. 8. Add cardamom powder and mix. 9. Grease a plate or tray with ghee. 10. Pour the mixture onto the greased plate. 11. Level the surface and allow to cool for 5 minutes. 12. Cut into squares or diamonds while still warm. 13. Allow to cool completely before removing the pieces."
